idOrganizacionPolitica,idExpediente,idJuradoUbicacion,idSolicitudLista,idTipoEleccion,strCarpeta,strCodExpediente,strDistritoElec,strEstadoLista,strJuradoElectoral,strOrganizacionPolitica,strRegion,strTipoOrganizacion,strUbigeo,idPlanGobierno,idProcesoElectoral,fecha_registro
2840,90701,1536,22865,1,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004299,,INSCRITO,LIMA CENTRO 1,PARTIDO MORADO,,PARTIDOS POLITICOS,,16521,110,2021-03-14 14:20:15
2857,91071,1536,22796,1,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004660,,IMPROCEDENTE,LIMA CENTRO 1,PARTIDO FRENTE DE LA ESPERANZA 2021,,PARTIDOS POLITICOS,,16516,110,2021-03-14 14:20:15
14,90811,1536,22990,1,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004402,,INSCRITO,LIMA CENTRO 1,PARTIDO DEMOCRATICO SOMOS PERU,,PARTIDOS POLITICOS,,16494,110,2021-03-14 14:20:15
4,90694,1536,22765,1,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004292,,INSCRITO,LIMA CENTRO 1,ACCION POPULAR,,PARTIDOS POLITICOS,,16511,110,2021-03-14 14:20:15
5,91060,1536,23007,1,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004649,,INSCRITO,LIMA CENTRO 1,RENACIMIENTO UNIDO NACIONAL,,PARTIDOS POLITICOS,,16525,110,2021-03-14 14:20:15
1264,90710,1536,22845,1,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004307,,INSCRITO,LIMA CENTRO 1,JUNTOS POR EL PERU,,PARTIDOS POLITICOS,,16479,110,2021-03-14 14:20:15
1366,90389,1536,22579,1,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021003994,,INSCRITO,LIMA CENTRO 1,FUERZA POPULAR,,PARTIDOS POLITICOS,,16490,110,2021-03-14 14:20:15
2191,90689,1536,22751,1,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004287,,INSCRITO,LIMA CENTRO 1,DEMOCRACIA DIRECTA,,PARTIDOS POLITICOS,,16480,110,2021-03-14 14:20:15
179,91149,1536,22515,1,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004738,,INSCRITO,LIMA CENTRO 1,PARTIDO NACIONALISTA PERUANO,,PARTIDOS POLITICOS,,16538,110,2021-03-14 14:20:15
2173,91029,1536,23117,1,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004618,,INSCRITO,LIMA CENTRO 1,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,,PARTIDOS POLITICOS,,16535,110,2021-03-14 14:20:15
2731,91077,1536,22538,1,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004666,,INSCRITO,LIMA CENTRO 1,PODEMOS PERU,,PARTIDOS POLITICOS,,16536,110,2021-03-14 14:20:15
1257,90885,1536,23040,1,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004475,,INSCRITO,LIMA CENTRO 1,ALIANZA PARA EL PROGRESO,,PARTIDOS POLITICOS,,16531,110,2021-03-14 14:20:15
21,90977,1536,23058,1,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004567,,INSCRITO,LIMA CENTRO 1,VICTORIA NACIONAL,,PARTIDOS POLITICOS,,16517,110,2021-03-14 14:20:15
2160,90882,1536,23044,1,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004472,,INSCRITO,LIMA CENTRO 1,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",,PARTIDOS POLITICOS,,16526,110,2021-03-14 14:20:15
2218,91158,1536,23155,1,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004747,,INSCRITO,LIMA CENTRO 1,PARTIDO POLITICO NACIONAL PERU LIBRE,,PARTIDOS POLITICOS,,16542,110,2021-03-14 14:20:15
32,91156,1536,23104,1,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004745,,RETIRO,LIMA CENTRO 1,PARTIDO APRISTA PERUANO,,PARTIDOS POLITICOS,,16495,110,2021-03-14 14:20:15
55,90867,1536,22988,1,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004457,,INSCRITO,LIMA CENTRO 1,PERU PATRIA SEGURA,,PARTIDOS POLITICOS,,16524,110,2021-03-14 14:20:15
