decValor,idEstado,idHVBienMueble,idHojaVida,intItemMueble,strAnio,strCaracteristica,strComentario,strMarca,strModelo,strOrder,strPlaca,strTengoBienMueble,strUsuario,strVehiculo,fecha_registro
58206.6,1,145974,135685,1,,"AÑO FAB 2013, MARCA HONDA, MODELO ODYSSEY, COLOR GRIS",VALOR DE MERCADO,,,,D6I519 ,1,,REGISTRO DE PROPIEDAD VEHICULAR,2021-02-21 12:00:47
43158,1,145975,135686,1,,"AÑO FAB 2012, MARCA  KIA, MODELO CARENS , COLOR NEGRO",VALOR DE MERCADO,,,,C0Y437 ,1,,REGISTRO DE PROPIEDAD VEHICULAR,2021-02-21 12:00:47
0,1,147144,136564,1,,MT,,,,,Y22223 ,1,,REGISTRO DE PROPIEDAD VEHICULAR,2021-02-21 12:00:47
14000,1,147145,136564,2,,MOTOCICLETA YAMAHA,,,,,98641I ,1,,REGISTRO DE PROPIEDAD VEHICULAR,2021-02-21 12:00:47
0,1,144195,134382,1,,,,,,,,2,,,2021-02-21 12:00:47
84454.22,1,144075,134372,1,,CAMIONETA RURAL KIA SPORTAGE - 2013,AÑO 2013,,,,X2L121 ,1,,REGISTRO DE PROPIEDAD VEHICULAR,2021-02-21 12:00:47
0,1,144219,134453,1,,COLOR NEGRO,NO ES PROPIEDAD DEL DECLARANTE (HOMONIMIA),,,,DG2261 ,1,,REGISTRO DE PROPIEDAD VEHICULAR,2021-02-21 12:00:47
0,1,144220,134453,2,,COLOR NEGRO,NO ES PROPIEDAD DEL DECLARANTE (HOMONIMIA),,,,BG2805 ,1,,REGISTRO DE PROPIEDAD VEHICULAR,2021-02-21 12:00:47
0,1,144221,134453,3,,COLOR ROJO GRIS,NO ES PROPIEDAD DEL DECLARANTE (HOMONIMIA),,,,57777B ,1,,REGISTRO DE PROPIEDAD VEHICULAR,2021-02-21 12:00:47
60000,1,144222,134453,4,,CAMIONETA KIA SORRENTO,SOCIEDAD CONYUGAL,,,,AHI109 ,1,,REGISTRO DE PROPIEDAD VEHICULAR,2021-02-21 12:00:47
41000,1,143529,134127,1,,SSANEYONE - MECANICA,,,,,AJX 130,1,,CAMIONETA,2021-02-21 12:00:47
20000,1,143530,134127,2,,TOYOTA - MECANICA,,,,,AHK 599,1,,AUTOMOVIL,2021-02-21 12:00:47
28960,1,143527,134124,1,,SUZUKI-,PRECIO EN DOLARES 8000.00 AL CAMBIO 3.62,,,,F2L 145,1,,AUTOMOVIL,2021-02-21 12:00:47
0,1,143211,133886,1,,MITSUBICH MODELO NATIVA - AÑO 2001 - AUTOMATICA,,,,,RIS179,1,,CAMIONETA,2021-02-21 12:00:47
70000,1,143212,133886,2,,BMW - CUPE - 2015 - AUTOMATICA,,,,,ADQ286,1,,AUTOMOVIL,2021-02-21 12:00:47
0,1,143213,133886,3,,MITSUBICH - PATHFIGER - 2000 - AUTOMATICA,,,,,RII900,1,,CAMIONETA,2021-02-21 12:00:47
50000,1,143214,133886,4,,GM - SKY SATURM - 2008 - AUTOMATICO,,,,,B2T031,1,,DEPORTIVO,2021-02-21 12:00:47
2000,1,143703,134119,1,,FORD TAUNUS,CHATARRA - VENDIDO HACE 45 AÑOS,,,,GI3921 ,1,,REGISTRO DE PROPIEDAD VEHICULAR,2021-02-21 12:00:47
