idCargoEleccion,idEstado,idHVCargoEleccion,idHojaVida,idOrgPolCargoElec,intItemCargoEleccion,strAnioCargoElecDesde,strAnioCargoElecHasta,strCargoEleccion,strCargoEleccion2,strOrder,strOrgPolCargoElec,strComentario,fecha_registro
0,1,134820,135685,0,1,,,2,,,,,2021-03-14 14:20:15
0,1,133640,135686,0,1,,,2,,,,,2021-03-14 14:20:15
0,1,134799,136564,0,1,,,2,,,,,2021-03-14 14:20:15
9,1,132393,134382,32,1,2007,2010,1,REGIDOR PROVINCIAL,,PARTIDO APRISTA PERUANO,,2021-03-14 14:20:15
4,1,132392,134382,1366,2,2016,2021,1,CONGRESISTA DE LA REPÚBLICA,,FUERZA POPULAR,"SEGUN EL SISTEMA NO SE PUEDE CONSIGNAR EL AÑO CONCLUIDO COMO CONGRESISTA, SIN EMBARGO DEBEMOS PRECISAR QUE OCUPE EL CARGO HASTA QUE EL CONGRESO FUE DISUELTO EL AÑO 2019.",2021-03-14 14:20:15
11,1,132373,134372,14,1,2011,2014,1,REGIDOR DISTRITAL,,PARTIDO DEMOCRATICO SOMOS PERU,,2021-03-14 14:20:15
4,1,132388,134372,14,2,2020,0000,1,CONGRESISTA DE LA REPÚBLICA,,PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU,,2021-03-14 14:20:15
4,1,132468,134453,14,1,2020,0000,1,CONGRESISTA DE LA REPÚBLICA,,PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU,,2021-03-14 14:20:15
4,1,132171,134127,4,1,2001,2006,1,CONGRESISTA DE LA REPÚBLICA,,ACCION POPULAR,,2021-03-14 14:20:15
4,1,132170,134127,193,2,2006,2011,1,CONGRESISTA DE LA REPÚBLICA,,FRENTE DE CENTRO,,2021-03-14 14:20:15
0,1,132168,134124,0,1,,,2,,,,,2021-03-14 14:20:15
0,1,131939,133886,0,1,,,2,,,,,2021-03-14 14:20:15
0,1,132203,134119,0,1,,,2,,,,,2021-03-14 14:20:15
0,1,132267,134120,0,1,,,2,,,,,2021-03-14 14:20:15
0,1,132239,134121,0,1,,,2,,,,,2021-03-14 14:20:15
4,1,133546,135605,179,1,2011,2016,1,CONGRESISTA DE LA REPÚBLICA,,GANA PERU,,2021-03-14 14:20:15
0,1,134398,136416,0,1,,,2,,,,,2021-03-14 14:20:15
0,1,134494,136528,0,1,,,2,,,,,2021-03-14 14:20:15
4,1,131928,133878,194,1,2006,2011,1,CONGRESISTA DE LA REPÚBLICA,,ALIANZA POR EL FUTURO,,2021-03-14 14:20:15
9,1,132385,134377,101401,1,2003,2006,1,REGIDOR PROVINCIAL,,ALIANZA ELECTORAL UNIDAD NACIONAL,,2021-03-14 14:20:15
4,1,132384,134377,197,2,2006,2011,1,CONGRESISTA DE LA REPÚBLICA,,UNIDAD NACIONAL,,2021-03-14 14:20:15
9,1,131884,133837,22,1,2015,2018,1,REGIDOR PROVINCIAL,,SOLIDARIDAD NACIONAL,,2021-03-14 14:20:15
0,1,132176,134133,0,1,,,2,,,,,2021-03-14 14:20:15
12,1,132912,134937,445,1,2011,2014,1,CONSEJERO REGIONAL,,MOVIMIENTO REGIONAL ACUERDO POPULAR UNIFICADO,,2021-03-14 14:20:15
0,1,134521,136570,0,1,,,2,,,,,2021-03-14 14:20:15
1,1,135770,137760,179,1,2011,2016,1,PRESIDENTE DE LA REPÚBLICA,,GANA PERU,,2021-03-14 14:20:15
0,1,135772,137757,0,1,,,2,,,,,2021-03-14 14:20:15
0,1,134460,136484,0,1,,,2,,,,,2021-03-14 14:20:15
0,1,132922,134943,0,1,,,2,,,,,2021-03-14 14:20:15
9,1,132839,134834,524,1,2011,2014,1,REGIDOR PROVINCIAL,,MOVIMIENTO INDEPENDIENTE REGIONAL TACNA UNIDA,,2021-03-14 14:20:15
5,1,132954,134982,2235,1,2016,2021,1,REPRESENTANTE ANTE EL PARLAMENTO ANDINO,,PERUANOS POR EL KAMBIO,"PRIMER SUPLENTE EN FUNCIONES SOLO DE  JULIO A DICIEMBRE DEL 2016, SEGUN CREDENCIAL DEL JNE DEL 30 DE MAYO DEL 2016",2021-03-14 14:20:15
4,1,135477,137291,2731,1,2020,0000,1,CONGRESISTA DE LA REPÚBLICA,,PARTIDO POLÍTICO PODEMOS PERU,,2021-03-14 14:20:15
