idEstado,idHVCargoPartidario,idHojaVida,idOrgPolCargoPartidario,intItemCargoPartidario,strAnioCargoPartiDesde,strAnioCargoPartiHasta,strCargoPartidario,strOrder,strOrgPolCargoPartidario,strTengoCargoPartidario,strComentario,fecha_registro
1,133394,135685,2840,1,2017,2018,Comité Ejecutivo Nacional,,PARTIDO MORADO,1,,2021-02-21 12:00:47
1,133393,135685,2840,2,2017,0000,Comité Ejecutivo Nacional - Presidente,,PARTIDO MORADO,1,,2021-02-21 12:00:47
1,133400,135686,0,1,,,,,,2,,2021-02-21 12:00:47
1,134665,136564,0,1,,,,,,2,,2021-02-21 12:00:47
1,132034,134382,1366,1,2018,2019,Secretaría Nacional del Grupo Parlamentario,,FUERZA POPULAR,1,,2021-02-21 12:00:47
1,132035,134382,2459,2,2014,2014,Fundador,,DEMOCRACIA SEGURIDAD Y VALORES,1,"TAMBIEN, SEGUN ROP, FUI PRESIDENTE, PRECISANDO QUE LA AGRUPACION NO ALCANZO AFILIACION",2021-02-21 12:00:47
1,132030,134372,14,1,2017,2019,SECRETARIA GENERAL DISTRITAL DE SAN JERONIMO,,PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU,1,,2021-02-21 12:00:47
1,132117,134453,0,1,,,,,,2,,2021-02-21 12:00:47
1,131795,134127,4,1,2004,0000,Adherente Fundacional,,ACCION POPULAR,1,,2021-02-21 12:00:47
1,131794,134127,4,2,2004,2007,Defensor Adjunto I,,ACCION POPULAR,1,,2021-02-21 12:00:47
1,131792,134124,0,1,,,,,,2,,2021-02-21 12:00:47
1,131547,133886,4,1,2004,2007,Representante Legal,,ACCION POPULAR,1,,2021-02-21 12:00:47
1,131546,133886,4,2,2004,2007,Secretario General Nacional,,ACCION POPULAR,1,,2021-02-21 12:00:47
1,131789,134119,5,1,2020,0000,Presidente,,RENACIMIENTO UNIDO NACIONAL,1,,2021-02-21 12:00:47
1,131790,134119,5,2,2019,0000,Representante Legal,,RENACIMIENTO UNIDO NACIONAL,1,,2021-02-21 12:00:47
1,131899,134120,0,1,,,,,,2,,2021-02-21 12:00:47
1,131869,134121,2605,1,2020,0000,MILITANTE,,MOVIMIENTO REGIONAL O DEPARTAMENTAL RENACIMIENTO UNIDO NACIONAL,1,,2021-02-21 12:00:47
1,134157,135605,0,1,,,,,,2,,2021-02-21 12:00:47
1,134192,136416,2160,1,2010,2016,Fundador,,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",1,,2021-02-21 12:00:47
1,134191,136416,2160,2,2014,2016,Miembro de la Comisión Política Nacional,,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",1,,2021-02-21 12:00:47
1,134332,136528,1264,1,2017,0000,Secretaría  Nacional de la Mujer y Poblaciones Vulnerables,,JUNTOS POR EL PERU,1,,2021-02-21 12:00:47
1,134331,136528,2854,2,2019,2019,Delegado,,JUNTOS,1,,2021-02-21 12:00:47
1,131539,133878,1366,1,2009,0000,Fundador,,FUERZA POPULAR,1,,2021-02-21 12:00:47
1,131538,133878,1366,2,2020,0000,Presidenta,,FUERZA POPULAR,1,,2021-02-21 12:00:47
1,132026,134377,1366,1,2020,0000,Secretaría General,,FUERZA POPULAR,1,,2021-02-21 12:00:47
1,132027,134377,1366,2,2018,2018,"Secretaría Nacional de Educación, Arte, Cultura, Innovación y Tecnología",,FUERZA POPULAR,1,,2021-02-21 12:00:47
1,131487,133837,2661,1,2015,2016,1er Vocal,,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,1,,2021-02-21 12:00:47
1,131488,133837,2156,2,2010,2011,Miembros del Plenario Electoral,,ALIANZA SOLIDARIDAD NACIONAL,1,,2021-02-21 12:00:47
1,131799,134133,2191,1,2011,0000,Fundador,,DEMOCRACIA DIRECTA,1,,2021-02-21 12:00:47
1,131798,134133,2191,2,2018,0000,Presidente,,DEMOCRACIA DIRECTA,1,,2021-02-21 12:00:47
1,132621,134937,0,1,,,,,,2,,2021-02-21 12:00:47
1,134369,136570,1485,1,2010,2010,Fundador,,FRENTE AMPLIO PERUANO,1,CON CARGO DE VICEPREDICENTE,2021-02-21 12:00:47
