idEstado,idHVEduBasica,idHojaVida,strConcluidoEduPrimaria,strConcluidoEduSecundaria,strEduPrimaria,strEduSecundaria,strTengoEduBasica,strUsuario,fecha_registro
1,135909,135685,1,1,1,1,1,,2021-03-14 14:20:15
1,134759,135686,1,1,1,1,1,,2021-03-14 14:20:15
1,135890,136564,1,1,1,1,1,,2021-03-14 14:20:15
1,133559,134382,1,1,1,1,1,,2021-03-14 14:20:15
1,133550,134372,1,1,1,1,1,,2021-03-14 14:20:15
1,133630,134453,1,1,1,1,1,,2021-03-14 14:20:15
1,133347,134127,1,1,1,1,1,,2021-03-14 14:20:15
1,133345,134124,1,1,1,1,1,,2021-03-14 14:20:15
1,133122,133886,1,1,1,1,1,,2021-03-14 14:20:15
1,133343,134119,1,1,1,1,1,,2021-03-14 14:20:15
1,133440,134120,0,0,0,0,2,,2021-03-14 14:20:15
1,133414,134121,1,1,1,1,1,,2021-03-14 14:20:15
1,135440,135605,1,1,1,1,1,,2021-03-14 14:20:15
1,135487,136416,1,1,1,1,1,,2021-03-14 14:20:15
1,135594,136528,1,1,1,1,1,,2021-03-14 14:20:15
1,133116,133878,1,1,1,1,1,,2021-03-14 14:20:15
1,133558,134377,1,1,1,1,1,,2021-03-14 14:20:15
1,133087,133837,1,1,1,1,1,,2021-03-14 14:20:15
1,133410,134133,1,1,1,1,1,,2021-03-14 14:20:15
1,134052,134937,1,1,1,1,1,,2021-03-14 14:20:15
1,135620,136570,1,1,1,1,1,,2021-03-14 14:20:15
1,136838,137760,1,1,1,1,1,,2021-03-14 14:20:15
1,136828,137757,1,1,1,1,1,,2021-03-14 14:20:15
1,135565,136484,1,1,1,1,1,,2021-03-14 14:20:15
1,134061,134943,1,1,1,1,1,,2021-03-14 14:20:15
1,133989,134834,1,1,1,1,1,,2021-03-14 14:20:15
1,134090,134982,1,1,1,1,1,,2021-03-14 14:20:15
1,136466,137291,1,1,1,1,1,,2021-03-14 14:20:15
1,135310,136233,1,1,1,1,1,,2021-03-14 14:20:15
1,136014,136188,1,1,1,1,1,,2021-03-14 14:20:15
1,135676,136626,1,1,1,1,1,,2021-03-14 14:20:15
1,134422,135341,1,1,1,1,1,,2021-03-14 14:20:15
1,134394,135289,1,1,1,1,1,,2021-03-14 14:20:15
1,136612,137542,1,1,1,1,1,,2021-03-14 14:20:15
1,136000,136318,1,1,1,1,1,,2021-03-14 14:20:15
1,136886,137806,1,1,1,1,1,,2021-03-14 14:20:15
1,134874,135595,1,1,1,1,1,,2021-03-14 14:20:15
1,135422,136358,1,1,1,1,1,,2021-03-14 14:20:15
1,134349,135264,1,1,1,1,1,,2021-03-14 14:20:15
1,136859,137792,1,1,1,1,1,,2021-03-14 14:20:15
1,134487,135388,1,1,1,1,1,,2021-03-14 14:20:15
1,136036,136953,1,1,1,1,1,,2021-03-14 14:20:15
1,135232,136156,1,1,1,1,1,,2021-03-14 14:20:15
1,136013,136938,1,1,1,1,1,,2021-03-14 14:20:15
1,134306,134923,1,1,1,1,1,,2021-03-14 14:20:15
1,133967,134807,1,1,1,1,1,,2021-03-14 14:20:15
1,133061,133825,1,1,1,1,1,,2021-03-14 14:20:15
1,136611,134910,1,1,1,1,1,,2021-03-14 14:20:15
1,136545,134911,1,1,1,1,1,,2021-03-14 14:20:15
1,136557,134912,1,1,1,1,1,,2021-03-14 14:20:15
1,134089,134976,1,1,1,1,1,,2021-03-14 14:20:15
1,133140,133901,1,1,1,1,1,,2021-03-14 14:20:15
1,134257,135152,1,1,1,1,1,,2021-03-14 14:20:15
1,134219,135111,1,1,1,1,1,,2021-03-14 14:20:15
1,135219,135328,1,1,1,1,1,,2021-03-14 14:20:15
1,135196,136122,1,1,1,1,1,,2021-03-14 14:20:15
1,134675,135612,1,1,1,1,1,,2021-03-14 14:20:15
1,135581,136512,1,1,1,1,1,,2021-03-14 14:20:15
1,134698,135626,1,1,1,1,1,,2021-03-14 14:20:15
1,134650,135582,1,1,1,1,1,,2021-03-14 14:20:15
1,135593,136524,1,1,1,1,1,,2021-03-14 14:20:15
1,134753,135681,1,1,1,1,1,,2021-03-14 14:20:15
1,134740,135671,1,1,1,1,1,,2021-03-14 14:20:15
1,134770,135695,1,1,1,1,1,,2021-03-14 14:20:15
1,134772,135699,1,1,1,1,1,,2021-03-14 14:20:15
1,134777,135705,1,1,1,1,1,,2021-03-14 14:20:15
1,134782,135708,1,1,1,1,1,,2021-03-14 14:20:15
1,135539,136469,1,1,1,1,1,,2021-03-14 14:20:15
1,134785,135712,1,1,1,1,1,,2021-03-14 14:20:15
1,134786,135714,1,1,1,1,1,,2021-03-14 14:20:15
1,134788,135718,1,1,1,1,1,,2021-03-14 14:20:15
1,134811,135736,1,1,1,1,1,,2021-03-14 14:20:15
1,134913,135845,1,1,1,1,1,,2021-03-14 14:20:15
1,134946,135853,1,1,1,1,1,,2021-03-14 14:20:15
1,134987,135887,1,1,1,1,1,,2021-03-14 14:20:15
1,135117,136032,1,1,1,1,1,,2021-03-14 14:20:15
1,135134,136065,1,1,1,1,1,,2021-03-14 14:20:15
1,135161,136090,1,1,1,1,1,,2021-03-14 14:20:15
1,135167,136094,1,1,1,1,1,,2021-03-14 14:20:15
1,135178,136103,1,1,1,1,1,,2021-03-14 14:20:15
1,135183,136109,1,1,1,1,1,,2021-03-14 14:20:15
1,135191,136119,1,1,1,1,1,,2021-03-14 14:20:15
1,134402,135317,1,1,1,1,1,,2021-03-14 14:20:15
1,135126,136047,1,1,1,1,1,,2021-03-14 14:20:15
1,135936,136592,1,1,1,1,1,,2021-03-14 14:20:15
1,134522,135452,1,1,1,1,1,,2021-03-14 14:20:15
1,133965,134806,1,1,1,1,1,,2021-03-14 14:20:15
1,133588,134410,1,2,1,1,1,,2021-03-14 14:20:15
1,133591,134416,1,1,1,1,1,,2021-03-14 14:20:15
