idEstado,idHojaVida,idHVEduTecnico,strCarreraTecnico,strCenEstudioTecnico,strConcluidoEduTecnico,strTengoEduTecnico,strUsuario,strComentario,fecha_registro
1,135685,132396,,,0,0,,,2021-02-21 12:00:47
1,135686,132200,,,0,0,,,2021-02-21 12:00:47
1,136564,133335,,,0,0,,,2021-02-21 12:00:47
1,134382,131003,,,0,0,,,2021-02-21 12:00:47
1,134372,130995,,,0,2,,,2021-02-21 12:00:47
1,134453,131076,,,0,0,,,2021-02-21 12:00:47
1,134127,130796,,,0,0,,,2021-02-21 12:00:47
1,134124,130794,,,0,0,,,2021-02-21 12:00:47
1,133886,130573,,,0,0,,,2021-02-21 12:00:47
1,134119,130792,,,0,0,,,2021-02-21 12:00:47
1,134120,130886,DISEÑO DE MODAS,ESCUELA DE DISEÑO GERALDINE,2,1,,,2021-02-21 12:00:47
1,134121,130863,,,0,2,,,2021-02-21 12:00:47
1,135605,132880,,,0,0,,,2021-02-21 12:00:47
1,136416,132927,,,0,0,,,2021-02-21 12:00:47
1,136528,133027,,,0,0,,,2021-02-21 12:00:47
1,133878,130565,,,0,0,,,2021-02-21 12:00:47
1,134377,131004,TECNICO EN ADMINISTRACION BANCARIA,INSTITUTO DE EDUACCION  SUPERIOR SAN IGNACIO DE LOYOLA,1,1,,TITULO PROFESIONAL TECNICO  OBTENIDO EL 16 DE JUNIO DE 1999,2021-02-21 12:00:47
1,133837,130537,,,0,0,,,2021-02-21 12:00:47
1,134133,130858,,,0,0,,,2021-02-21 12:00:47
1,134937,131497,,,0,2,,,2021-02-21 12:00:47
1,136570,133056,,,0,0,,,2021-02-21 12:00:47
1,137760,134279,,,0,0,,,2021-02-21 12:00:47
1,137757,134273,,,0,0,,,2021-02-21 12:00:47
1,136484,132999,,,0,0,,,2021-02-21 12:00:47
1,134943,131504,,,0,0,,,2021-02-21 12:00:47
1,134834,131431,,,0,0,,,2021-02-21 12:00:47
1,134982,131537,,,0,0,,,2021-02-21 12:00:47
1,137291,133914,,,0,0,,,2021-02-21 12:00:47
1,136233,132779,,,0,0,,,2021-02-21 12:00:47
1,136188,133459,,,0,0,,,2021-02-21 12:00:47
1,136626,133114,,,0,0,,,2021-02-21 12:00:47
1,135341,131866,,,0,2,,,2021-02-21 12:00:47
