idEstado,idHojaVida,idHVEduUniversitaria,intItemEduUni,strAnioBachiller,strAnioTitulo,strBachillerEduUni,strCarreraUni,strConcluidoEduUni,strEduUniversitaria,strEgresadoEduUni,strMetodoAccion,strOrder,strTengoEduUniversitaria,strTituloUni,strUniversidad,strUsuario,strComentario,fecha_registro
1,135685,139418,1,1998,,0,BACHILLER EN ECONOMIA,1,1,1,,,1,0,UNIVERSIDAD CATÓLICA DEL PERÚ,,,2021-02-21 12:00:47
1,135685,140800,2,2002,,0,MASTER EN POLITICA PUBLICAS,1,1,1,,,1,0,GEORGETOWN UNIVERSITY (EEUU),,,2021-02-21 12:00:47
1,135686,139099,1,1998,,,BACHILLER EN EDUCACION,1,1,1,,,1,,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,,,2021-02-21 12:00:47
1,135686,139186,2,2000,,0,LICENCIADA EN EDUCACIÓN,1,1,1,,,1,0,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,,,2021-02-21 12:00:47
1,136564,140364,1,2019,,,BACHILLER EN ADMINISTRACION Y NEGOCIOS INTERNACIONALES,1,1,1,,,1,,UNIVERSIDAD PERUANA DE CIENCIAS E INFORMÁTICA,,,2021-02-21 12:00:47
1,134382,137265,1,2016,,,ARQUITECTO,1,1,1,,,1,,UNIVERSIDAD PRIVADA CÉSAR VALLEJO,,,2021-02-21 12:00:47
1,134382,137266,2,2015,,,BACHILLER EN ARQUITECTURA,1,1,1,,,1,,UNIVERSIDAD PRIVADA CÉSAR VALLEJO,,,2021-02-21 12:00:47
1,134372,137246,1,1992,,,LICENCIADO EN ENFERMERIA,1,1,1,,,1,,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,,,2021-02-21 12:00:47
1,134372,137247,2,1991,,,BACHILLER EN ENFERMERIA,1,1,1,,,1,,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,,,2021-02-21 12:00:47
1,134453,137359,1,2012,,,MEDICO CIRUJANO,1,1,1,,,1,,UNIVERSIDAD PARTICULAR DE CHICLAYO,,,2021-02-21 12:00:47
1,134453,137368,2,2012,,0,BACHILLER EN MEDICINA,1,1,1,,,1,0,UNIVERSIDAD PARTICULAR DE CHICLAYO,,,2021-02-21 12:00:47
1,134453,137371,3,2003,,0,BACHILLER EN CIENCIAS FARMACEUTICAS Y BIOQUIMICA,1,1,1,,,1,0,UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL,,,2021-02-21 12:00:47
1,134453,137372,4,2003,,0,QUIMICO FARMACEUTICO Y BIOQUIMICO,1,1,1,,,1,0,UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL,,,2021-02-21 12:00:47
1,134127,136924,1,1999,,,ABOGADO,1,1,1,,,1,,UNIVERSIDAD CATÓLICA DE SANTA MARÍA,,,2021-02-21 12:00:47
1,134127,136925,2,1999,,,BACHILLER EN DERECHO,1,1,1,,,1,,UNIVERSIDAD CATÓLICA DE SANTA MARÍA,,,2021-02-21 12:00:47
1,134124,136923,1,2006,,0,PROFESIONAL DE LICENCIADA DE ENFERMERIA,1,1,1,,,1,0,UNIVERSIDAD NACIONAL SAN CRISTOBAL DE HUAMANGA,,,2021-02-21 12:00:47
1,133886,136598,1,1994,,,ABOGADO,1,1,1,,,1,,UNIVERSIDAD DE SAN MARTÍN DE PORRES,,,2021-02-21 12:00:47
1,133886,136599,2,1984,,,BACHILLER EN DERECHO,1,1,1,,,1,,UNIVERSIDAD DE SAN MARTÍN DE PORRES,,,2021-02-21 12:00:47
1,134119,136966,1,1977,,0,ABOGADO,1,1,0,,,1,0,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,,,2021-02-21 12:00:47
1,134120,137069,1,,,0,,0,0,0,,,2,0,,,,2021-02-21 12:00:47
1,134121,137037,1,,,0,,0,0,0,,,2,0,,,,2021-02-21 12:00:47
1,135605,140132,1,2003,,0,LICENCIATURA DE PSICOLOGIA,1,1,1,,,1,0,DENIS DIDEROT - PARIS VII,,ESTUDIOS REALIZADOS EN FRANCIA,2021-02-21 12:00:47
1,136416,140202,1,1985,,0,MASTER,1,1,1,,,1,0,UNIVERSIDAD SORBONNE NOUVELLE PARIS III,,OPCION ECONOMIA,2021-02-21 12:00:47
1,136528,140321,1,2019,,,BACHILLER EN DERECHO,1,1,1,,,1,,UNIVERSIDAD SEÑOR DE SIPÁN,,,2021-02-21 12:00:47
1,133878,136610,1,1997,,0,ADMINISTRACION DE EMPRESAS,1,1,1,,,1,0,BOSTON UNIVERSITY,,,2021-02-21 12:00:47
1,134377,137258,1,2006,,,BACHILLER EN DERECHO Y CIENCIA POLITICA,1,1,1,,,1,,UNIVERSIDAD DE SAN MARTÍN DE PORRES,,,2021-02-21 12:00:47
1,133837,136550,1,1988,,0,BACHILLER EN DERECHO Y CIENCIAS POLÍTICAS,1,1,1,,,1,0,FEDERICO VILLARREAL,,,2021-02-21 12:00:47
1,133837,136551,2,1990,,0,ABOGADO,1,1,1,,,1,0,FEDERICO VILLARREAL,,,2021-02-21 12:00:47
1,134133,136933,1,2015,,,ABOGADO,1,1,1,,,1,,UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL,,,2021-02-21 12:00:47
1,134133,136934,2,2015,,,BACHILLER EN DERECHO,1,1,1,,,1,,UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL,,,2021-02-21 12:00:47
1,134937,138020,1,,,0,,0,0,0,,,2,0,,,,2021-02-21 12:00:47
1,136570,140375,1,1994,,0,BACHILLER EN CIENCIAS INGENIERIA CIVIL,1,1,1,,,1,0,PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ,,,2021-02-21 12:00:47
1,136570,140376,2,1994,,0,BACHILLER EN CIENCIAS CON MENCION EN INGENIERIA CIVIL,1,1,1,,,1,0,PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ,,,2021-02-21 12:00:47
1,136570,140377,3,1997,,0,INGENIERO CIVIL,1,1,1,,,1,0,PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ,,,2021-02-21 12:00:47
1,137760,142073,1,1984,,0,OFICIAL DEL EJERCITO,1,1,1,,,1,0,ESCUELA MILITAR DE CHORRILLOS,,,2021-02-21 12:00:47
1,137757,142067,1,1985,,0,MEDICO CIRUJANO,1,1,1,,,1,0,UNIVERSIDAD NACIONAL SAN AGUSTIN DE AREQUIPA,,,2021-02-21 12:00:47
1,136484,140281,1,1999,,0,ABOGADO,1,1,1,,,1,0,UNIVERSIDAD DE SAN MARTIN DE PORRES,,,2021-02-21 12:00:47
1,134943,138027,1,1964,,0,DEMI LICENCE EN SCIENCES ECONOMIQUES,1,1,1,,,1,0,UNIVERSITE DE GENEVE,,NO ESTA REGISTRADO EN SUNEDU,2021-02-21 12:00:47
1,134834,137878,1,,,0,PSICÓLOGA,2,1,2,,,1,0,UNIVERSIDAD FEMENINA SAGRADO CORAZON,,ESTUDIÉ EN EL PERIODO 1977-1978 POR TAL MOTIVO NO CONCLUÍ MIS ESTUDIOS UNIVERSITARIOS,2021-02-21 12:00:47
1,134982,138075,1,1988,,,Ingeniero Industrial,1,1,1,,,1,,UNIVERSIDAD DE LIMA,,ANR ASIENTO 521 FOJA 263  TOMO 3,2021-02-21 12:00:47
1,137291,141606,1,2008,,0,BACHILLER EN CIENCIAS MILITARES,1,1,1,,,1,0,ESCUELA MILITAR DE CHORRILLOS,,,2021-02-21 12:00:47
