decOtroIngresoPrivado,decOtroIngresoPublico,decRemuBrutaPrivado,decRemuBrutaPublico,decRentaIndividualPrivado,decRentaIndividualPublico,idEstado,idHVIngresos,idHojaVida,strAnioIngresos,strTengoIngresos,strUsuario,fecha_registro
0,0,144022,0,0,0,1,135214,135685,2019,1,,2021-03-14 14:20:15
0,0,0,337167,0,46744,1,135405,135686,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,135959,136564,,2,,2021-03-14 14:20:15
0,0,0,235782,0,0,1,132944,134382,2019,1,,2021-03-14 14:20:15
0,0,0,49917.42,0,0,1,132875,134372,2019,1,,2021-03-14 14:20:15
0,0,804.1,0,11160,0,1,135464,134453,2019,1,,2021-03-14 14:20:15
16800,0,0,224273.84,0,0,1,132690,134127,2019,1,,2021-03-14 14:20:15
0,0,0,30000,0,0,1,132689,134124,2019,1,,2021-03-14 14:20:15
72000,0,428574.19,0,105000,0,1,132485,133886,2019,1,,2021-03-14 14:20:15
0,0,21270,0,1031043,0,1,132724,134119,2019,1,,2021-03-14 14:20:15
0,0,0,0,24000,0,1,132782,134120,2019,1,,2021-03-14 14:20:15
0,0,529601,0,0,0,1,132758,134121,2019,1,,2021-03-14 14:20:15
0,0,24448,0,36150,0,1,134739,135605,2019,1,,2021-03-14 14:20:15
77846,0,206228,0,52319,0,1,134799,136416,2019,1,,2021-03-14 14:20:15
0,0,4980,0,0,0,1,134877,136528,2019,1,,2021-03-14 14:20:15
0,0,222526.74,0,0,0,1,132489,133878,2019,1,,2021-03-14 14:20:15
24000,0,0,300000,48000,0,1,132946,134377,2019,1,,2021-03-14 14:20:15
122100,0,0,70000,0,0,1,132454,133837,2019,1,,2021-03-14 14:20:15
0,0,52133,0,9500,0,1,132755,134133,2019,1,,2021-03-14 14:20:15
0,0,0,27600,0,0,1,133371,134937,2019,1,,2021-03-14 14:20:15
107145,0,24000,0,0,0,1,134905,136570,2019,1,,2021-03-14 14:20:15
0,218400,0,0,0,0,1,136157,137760,2019,1,,2021-03-14 14:20:15
17625.6,0,0,0,0,0,1,136143,137757,2019,1,,2021-03-14 14:20:15
0,0,0,0,62233,0,1,134859,136484,2019,1,,2021-03-14 14:20:15
1343135,0,0,0,249075,0,1,133380,134943,2019,1,,2021-03-14 14:20:15
29318,0,42540,0,0,17600,1,133518,134834,2019,1,,2021-03-14 14:20:15
0,89317,10343,0,900,0,1,133417,134982,2019,1,,2021-03-14 14:20:15
48686,0,0,164863,0,0,1,135867,137291,2019,1,,2021-03-14 14:20:15
0,0,0,78400,0,0,1,134631,136233,2019,1,,2021-03-14 14:20:15
0,0,24000,0,0,0,1,135318,136188,2019,1,,2021-03-14 14:20:15
6508000,0,3063448,0,0,0,1,135005,136626,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,133734,135341,,2,,2021-03-14 14:20:15
0,0,187283.94,54906.35,0,0,1,133704,135289,2019,1,,2021-03-14 14:20:15
0,0,0,136800,0,0,1,135954,137542,2019,1,,2021-03-14 14:20:15
114182,0,227026.36,0,0,0,1,135307,136318,2019,1,,2021-03-14 14:20:15
156000,0,0,0,208152,34650,1,136212,137806,2019,1,,2021-03-14 14:20:15
0,0,0,278606.4,0,0,1,135610,135595,2019,1,,2021-03-14 14:20:15
0,0,14000,0,0,0,1,134716,136358,2019,1,,2021-03-14 14:20:15
0,0,0,0,2600,0,1,133672,135264,2019,1,,2021-03-14 14:20:15
0,0,0,63323.64,0,0,1,136185,137792,2019,1,,2021-03-14 14:20:15
19800,0,0,0,0,46720,1,133812,135388,2019,1,,2021-03-14 14:20:15
2241500,0,0,0,0,0,1,135345,136953,2019,1,,2021-03-14 14:20:15
0,0,0,116788,0,0,1,134518,136156,2019,1,,2021-03-14 14:20:15
0,0,0,100812,0,0,1,135316,136938,2019,1,,2021-03-14 14:20:15
7220660,0,0,6345,421976,0,1,134609,134923,2019,1,,2021-03-14 14:20:15
0,0,0,0,32800,0,1,133283,134807,2019,1,,2021-03-14 14:20:15
0,103876,0,0,26600,37800,1,132427,133825,2019,1,,2021-03-14 14:20:15
105792,0,0,0,62000,0,1,135945,134910,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,135870,134911,,2,,2021-03-14 14:20:15
0,0,0,0,0,0,1,135880,134912,,2,,2021-03-14 14:20:15
0,0,22464,0,0,152403,1,133408,134976,2019,1,,2021-03-14 14:20:15
0,0,7277,125400,0,0,1,132503,133901,2019,1,,2021-03-14 14:20:15
52174,31395,34000,0,30710,0,1,133581,135152,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,133738,135111,,2,,2021-03-14 14:20:15
0,35100,0,0,5000,0,1,136295,135328,2019,1,,2021-03-14 14:20:15
0,49608,0,278606.4,0,0,1,134840,136122,2019,1,,2021-03-14 14:20:15
145622,0,43050,0,404.5,0,1,133980,135612,2019,1,,2021-03-14 14:20:15
0,36588,60000,0,60000,0,1,134867,136512,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,133999,135626,,2,,2021-03-14 14:20:15
0,0,100059.34,0,37955.9,0,1,133949,135582,2019,1,,2021-03-14 14:20:15
0,0,0,28800,0,0,1,134874,136524,2019,1,,2021-03-14 14:20:15
92000,0,0,62000,85500,0,1,134050,135681,2019,1,,2021-03-14 14:20:15
0,0,0,39200,0,42000,1,134044,135671,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,39913,1,134062,135695,2019,1,,2021-03-14 14:20:15
0,0,126887.11,0,8604,0,1,134068,135699,2019,1,,2021-03-14 14:20:15
0,0,0,0,167385,0,1,134072,135705,2019,1,,2021-03-14 14:20:15
0,0,0,0,178838,0,1,134077,135708,2019,1,,2021-03-14 14:20:15
0,0,75000,104000,0,0,1,134831,136469,2019,1,,2021-03-14 14:20:15
0,0,15000,0,10000,0,1,134080,135712,2019,1,,2021-03-14 14:20:15
0,0,11160,0,0,0,1,134081,135714,2019,1,,2021-03-14 14:20:15
0,0,0,97051.71,0,0,1,134082,135718,2019,1,,2021-03-14 14:20:15
0,0,23008.89,54797.88,0,5632.23,1,134109,135736,2019,1,,2021-03-14 14:20:15
0,0,11160,0,109565,0,1,134201,135845,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,110334.44,1,134232,135853,2019,1,,2021-03-14 14:20:15
0,0,89660,0,150,0,1,134277,135887,2019,1,,2021-03-14 14:20:15
0,0,1800,3400,0,0,1,134418,136032,2019,1,,2021-03-14 14:20:15
72000,0,0,0,0,0,1,136255,136065,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,73000,1,134454,136090,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,134456,136094,,2,,2021-03-14 14:20:15
0,0,0,10000,0,0,1,134466,136103,2019,1,,2021-03-14 14:20:15
10000,0,360000,0,0,0,1,134473,136109,2019,1,,2021-03-14 14:20:15
0,0,0,49750,16890,0,1,134477,136119,2019,1,,2021-03-14 14:20:15
0,0,0,0,47479,0,1,133707,135317,2019,1,,2021-03-14 14:20:15
54000,0,0,0,0,0,1,134423,136047,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,20000,1,135241,136592,2019,1,,2021-03-14 14:20:15
0,0,1300,0,0,0,1,133830,135452,2019,1,,2021-03-14 14:20:15
24280,0,0,0,15070,0,1,133288,134806,2019,1,,2021-03-14 14:20:15
0,0,0,0,15000,0,1,132911,134410,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,132915,134416,,2,,2021-03-14 14:20:15
0,0,0,0,7530,0,1,132968,134304,2019,1,,2021-03-14 14:20:15
0,0,0,0,149000,0,1,134218,134305,2019,1,,2021-03-14 14:20:15
0,0,5098.84,21216.6,500,6066.67,1,132970,134467,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,132971,134306,,2,,2021-03-14 14:20:15
0,0,0,35000,0,3000,1,136005,137600,2019,1,,2021-03-14 14:20:15
12200,0,0,0,24000,0,1,135678,137096,2019,1,,2021-03-14 14:20:15
0,0,0,6810,38364,0,1,135933,137110,2018,1,,2021-03-14 14:20:15
0,0,0,60000,0,0,1,135782,137112,2019,1,,2021-03-14 14:20:15
0,0,32793,0,0,6600,1,136048,137115,2019,1,,2021-03-14 14:20:15
0,0,0,15000,0,0,1,135898,137512,2017,1,,2021-03-14 14:20:15
168000,0,115931,0,65000,0,1,133530,135104,2019,1,,2021-03-14 14:20:15
0,0,8000,0,0,24000,1,133107,134607,2019,1,,2021-03-14 14:20:15
0,0,37601,0,65235,0,1,133920,135549,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,31467,1,133567,135121,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,36000,1,133648,135243,2019,1,,2021-03-14 14:20:15
309668,0,0,0,105586,0,1,133256,134766,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,133664,135277,,2,,2021-03-14 14:20:15
55800,0,0,0,20000,0,1,133943,135443,2019,1,,2021-03-14 14:20:15
9000,0,122301.41,71652,0,2200,1,133817,135271,2019,1,,2021-03-14 14:20:15
20000,0,0,0,15000,0,1,133859,135441,2019,1,,2021-03-14 14:20:15
0,0,79941,0,18261,0,1,133923,135543,2019,1,,2021-03-14 14:20:15
0,0,0,0,25000,0,1,133872,135505,2019,1,,2021-03-14 14:20:15
0,0,0,0,18000,0,1,132912,134408,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,134651,135947,,2,,2021-03-14 14:20:15
0,0,0,30000,0,0,1,135592,137211,2019,1,,2021-03-14 14:20:15
0,0,0,36000,0,0,1,135603,137225,2019,1,,2021-03-14 14:20:15
36000,0,0,0,0,0,1,135614,137238,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,136123,137737,,2,,2021-03-14 14:20:15
0,0,0,0,30500.62,0,1,135838,137475,2019,1,,2021-03-14 14:20:15
80000,0,210000,0,0,0,1,135315,136937,2019,1,,2021-03-14 14:20:15
0,0,0,179985,0,0,1,133056,134543,2019,1,,2021-03-14 14:20:15
0,0,0,10429.12,0,0,1,133209,134567,2019,1,,2021-03-14 14:20:15
0,0,0,0,20000,0,1,133090,134572,2019,1,,2021-03-14 14:20:15
0,0,0,15586.67,0,0,1,133848,135450,2019,1,,2021-03-14 14:20:15
18000,0,0,0,0,0,1,133863,135491,2019,1,,2021-03-14 14:20:15
18000,0,0,0,0,0,1,133873,135503,2019,1,,2021-03-14 14:20:15
24000,0,0,0,0,0,1,133880,135512,2019,1,,2021-03-14 14:20:15
24000,0,0,0,0,0,1,133786,135406,2019,1,,2021-03-14 14:20:15
12000,0,0,0,0,0,1,133796,135415,2019,1,,2021-03-14 14:20:15
0,0,0,30000,0,9600,1,133821,135430,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,133837,135469,,2,,2021-03-14 14:20:15
6000,0,0,28800,0,0,1,133426,134999,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,133421,134122,,2,,2021-03-14 14:20:15
0,0,0,0,21700,0,1,133431,135005,2019,1,,2021-03-14 14:20:15
0,0,18000,0,0,0,1,133443,135012,2019,1,,2021-03-14 14:20:15
0,0,0,35824,0,3000,1,135604,137232,2019,1,,2021-03-14 14:20:15
0,0,0,30000,20400,0,1,136171,137786,2019,1,,2021-03-14 14:20:15
0,0,0,13200,0,8400,1,135626,137256,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,135593,137212,,2,,2021-03-14 14:20:15
0,0,14400,0,0,0,1,135599,137221,2019,1,,2021-03-14 14:20:15
0,0,30000,0,0,0,1,135606,137229,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,132903,134401,,2,,2021-03-14 14:20:15
0,0,0,0,5400,0,1,134364,136010,2019,1,,2021-03-14 14:20:15
0,0,0,0,36000,0,1,134374,135032,2019,1,,2021-03-14 14:20:15
0,0,0,0,12000,0,1,134399,136030,2019,1,,2021-03-14 14:20:15
0,0,101419,0,0,0,1,135612,137239,2019,1,,2021-03-14 14:20:15
0,0,0,0,1220,31218.33,1,135969,137357,2019,1,,2021-03-14 14:20:15
0,0,0,103122,0,0,1,135905,137520,2019,1,,2021-03-14 14:20:15
0,0,0,9500,0,0,1,135985,137579,2019,1,,2021-03-14 14:20:15
0,0,0,46800,0,0,1,135149,136785,2019,1,,2021-03-14 14:20:15
144180,0,35439.46,66265.5,299709,0,1,135233,136821,2019,1,,2021-03-14 14:20:15
0,0,19630,0,0,0,1,135239,136872,2019,1,,2021-03-14 14:20:15
0,0,40000,0,0,0,1,133232,134745,2019,1,,2021-03-14 14:20:15
0,0,0,48000,0,0,1,133238,134756,2019,1,,2021-03-14 14:20:15
0,0,12000,0,0,0,1,133823,134757,2019,1,,2021-03-14 14:20:15
15600,0,0,0,0,0,1,132532,133941,2019,1,,2021-03-14 14:20:15
0,0,0,11502,12000,0,1,132535,133944,2019,1,,2021-03-14 14:20:15
0,0,0,0,27500,0,1,132537,133946,2019,1,,2021-03-14 14:20:15
0,0,0,0,11160,0,1,132488,133888,2019,1,,2021-03-14 14:20:15
0,0,0,0,10000,0,1,133147,133893,2019,1,,2021-03-14 14:20:15
0,0,24000,0,0,0,1,132520,133931,2019,1,,2021-03-14 14:20:15
0,0,0,99216,10000,0,1,133414,134984,2019,1,,2021-03-14 14:20:15
0,0,224163.66,0,105000,0,1,134432,134965,2019,1,,2021-03-14 14:20:15
0,0,0,7728,16800,0,1,133151,134653,2019,1,,2021-03-14 14:20:15
0,0,0,174673,0,0,1,133555,135035,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,133326,134852,,2,,2021-03-14 14:20:15
0,0,41108.59,121694.68,0,0,1,133300,134759,2019,1,,2021-03-14 14:20:15
0,0,20131,0,0,0,1,133318,134845,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,134810,134719,,2,,2021-03-14 14:20:15
0,0,60184,0,7099,0,1,133568,134980,2019,1,,2021-03-14 14:20:15
0,0,0,0,186031,0,1,133480,135049,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,133402,134974,,2,,2021-03-14 14:20:15
0,0,0,46664,1596,0,1,133313,134835,2019,1,,2021-03-14 14:20:15
60000,0,60000,0,0,0,1,133582,135155,2019,1,,2021-03-14 14:20:15
0,0,30000,0,0,0,1,134110,135744,2019,1,,2021-03-14 14:20:15
0,0,40000,0,0,0,1,133387,134940,2019,1,,2021-03-14 14:20:15
0,0,0,0,500,33600,1,133400,134964,2019,1,,2021-03-14 14:20:15
0,0,46625,0,0,42160,1,133401,134961,2019,1,,2021-03-14 14:20:15
48000,0,0,0,0,0,1,133045,134496,2019,1,,2021-03-14 14:20:15
0,0,65070,0,8500,0,1,133404,134956,2019,1,,2021-03-14 14:20:15
12000,0,84000,0,8000,0,1,133005,134499,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,133323,134848,,2,,2021-03-14 14:20:15
205304,0,11160,0,21136,0,1,133924,135556,2019,1,,2021-03-14 14:20:15
0,0,0,0,213871,0,1,136331,137896,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,135212,136849,,2,,2021-03-14 14:20:15
0,0,0,0,0,0,1,135963,137556,,2,,2021-03-14 14:20:15
36000,0,0,0,0,0,1,135183,136825,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,134807,136446,,2,,2021-03-14 14:20:15
0,0,0,130392,0,0,1,136284,137862,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,134132,135765,,2,,2021-03-14 14:20:15
0,0,18000,0,29595.65,0,1,136422,137984,2019,1,,2021-03-14 14:20:15
0,0,79345.58,0,0,0,1,135644,137274,2019,1,,2021-03-14 14:20:15
0,0,200000,27000,0,0,1,134503,135866,2019,1,,2021-03-14 14:20:15
0,0,0,35000,0,0,1,134040,135348,2019,1,,2021-03-14 14:20:15
0,0,8244.52,28085.34,0,0,1,133816,135439,2019,1,,2021-03-14 14:20:15
0,0,0,70000,0,0,1,133794,135353,2019,1,,2021-03-14 14:20:15
0,0,0,0,30000,0,1,134017,135630,2019,1,,2021-03-14 14:20:15
0,0,0,0,0,0,1,132826,134310,,2,,2021-03-14 14:20:15
0,0,36000,0,0,0,1,133174,134312,2019,1,,2021-03-14 14:20:15
0,0,0,0,5300,0,1,132982,134314,2019,1,,2021-03-14 14:20:15
0,0,0,0,24000,0,1,133096,134596,2019,1,,2021-03-14 14:20:15
0,0,0,0,45600,0,1,133143,134642,2019,1,,2021-03-14 14:20:15
0,0,0,0,12000,0,1,132918,134420,2019,1,,2021-03-14 14:20:15
0,0,0,6600,0,0,1,133135,134623,2019,1,,2021-03-14 14:20:15
