idEstado,idHojaVida,idHVPosgrado,intItemPosgrado,strAnioPosgrado,strCenEstudioPosgrado,strConcluidoPosgrado,strEgresadoPosgrado,strEsDoctor,strEsMaestro,strEspecialidadPosgrado,strTengoPosgrado,strUsuario,strComentario
1,135685,132172,1,2008,UNIVERSITY OF MARYLAND (EEUU),1,1,1,0,"PHD, POLÍTICAS PÚBLICAS",1,,,2021-03-14 14:20:15
1,135686,131980,1,,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,1,1,0,2,POLÍTICA SOCIAL CON MENCIÓN EN GESTIÓN DE PROYECTOS SOCIALES,1,,CUENTA CON ESTUDIOS DE MAESTRÍA EN LOS AÑOS 2003 Y 2004,2021-03-14 14:20:15
1,136564,133122,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134382,130778,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134372,130768,1,2017,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,1,1,0,1,MAESTRO EN SALUD PÚBLICA MENCION GERENCIA EN SERVICIOS DE SALUD,1,,,2021-03-14 14:20:15
1,134453,130851,1,,UNIVERSIDAD SEÑOR DE SIPAN,2,0,0,0,MAESTRIA,1,,,2021-03-14 14:20:15
1,134127,130581,1,2019,UNIVERSIDAD DE CHILE,1,1,0,1,GRADO MAESTRIA,1,,,2021-03-14 14:20:15
1,134124,130579,1,2017,UNIVERSIDAD PRIVADA CÉSAR VALLEJO,1,1,0,1,MAGÍSTER EN GESTIÓN PÚBLICA,1,,,2021-03-14 14:20:15
1,133886,130360,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134119,130576,1,2015,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ,1,1,0,1,MAGISTER EN ANTROPOLOGIA JURIDICA,1,,,2021-03-14 14:20:15
1,134120,130577,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,134121,130645,1,,,0,0,0,0,,2,,,2021-03-14 14:20:15
1,135605,132671,1,2006,SORBONA NUEVA - PARIS III,1,1,0,1,MASTER INVESTIGACION SOCIEDADES CONTEMPORANEAS,1,,ESTUDIOS REALIZADOS EN FRANCIA,2021-03-14 14:20:15
1,136416,132720,1,1989,UNIVERSIDAD DE LA SOBORNNE NOUVELLE PARIS III,1,1,1,0,DOCTOR,1,,,2021-03-14 14:20:15
