idPlanGobierno,idOrganizacionPolitica,idProcesoElectoral,strUbigeo,idTipoEleccion,strCodigoRegistroPG,strTieneArchivo,strFechaRegistro,strUsuario,idEstado,intPorcentaje,strCompleto,idParamPlanGob,strOrganizacionPolitica,strTipoEleccion,strEstado,strDepartamento,strProvincia,strDistrito,strDescripcionUbigeo,strParamPlanGob,strArchivo,strRutaArchivo,strExisteArchivoFisico,strPlanGobiernoExistente,strFechaResumenGenerado,fecha_registro
16521,2840,0,000000,1,0000000284000110,1,21/12/2020 11:11:22 p.m.,,1,100,1,26,PARTIDO MORADO,PRESIDENCIAL,,,,,,,,Plan de gobierno y Anexo 5 final integrado.pdf,False,False,14/03/2021 01:14:10 p.m.,2021-03-14 14:20:15
16516,2857,0,000000,1,0000000285700110,1,21/12/2020 07:37:54 p.m.,,1,100,1,26,PARTIDO FRENTE DE LA ESPERANZA 2021,PRESIDENCIAL,,,,,,,,Plan de Gobierno Frente Esperanza.pdf,False,False,14/03/2021 01:14:11 p.m.,2021-03-14 14:20:15
16494,14,0,000000,1,0000000001400110,1,18/12/2020 01:16:42 p.m.,,1,100,1,26,PARTIDO DEMOCRATICO SOMOS PERU,PRESIDENCIAL,,,,,,,,PLAN DE GOB. SOMOS PERU.pdf,False,False,14/03/2021 01:14:12 p.m.,2021-03-14 14:20:15
16511,4,0,000000,1,0000000000400110,1,21/12/2020 12:34:02 p.m.,,1,100,1,26,ACCION POPULAR,PRESIDENCIAL,,,,,,,,PLAN DE GOBIERNO ACCION POPULAR.pdf,False,False,14/03/2021 01:14:14 p.m.,2021-03-14 14:20:15
16525,5,0,000000,1,0000000000500110,1,22/12/2020 01:59:51 a.m.,,1,100,1,26,RENACIMIENTO UNIDO NACIONAL,PRESIDENCIAL,,,,,,,,PLAN DE GOBIERNO RUNA.pdf,False,False,14/03/2021 01:14:15 p.m.,2021-03-14 14:20:15
16479,1264,0,000000,1,0000000126400110,1,12/12/2020 01:11:28 a.m.,,1,100,1,26,JUNTOS POR EL PERU,PRESIDENCIAL,,,,,,,,PLAN DE GOBIERNO JP 2021[R].pdf,False,False,14/03/2021 01:14:16 p.m.,2021-03-14 14:20:15
16490,1366,0,000000,1,0000000136600110,1,17/12/2020 01:48:30 p.m.,,1,100,1,26,FUERZA POPULAR,PRESIDENCIAL,,,,,,,,RESCATE2021.pdf,False,False,14/03/2021 01:14:17 p.m.,2021-03-14 14:20:15
16480,2191,0,000000,1,0000000219100110,1,12/12/2020 04:00:57 p.m.,,1,100,1,26,DEMOCRACIA DIRECTA,PRESIDENCIAL,,,,,,,,Plan de Gobierno de Democracia Directa 2021-2026.pdf,False,False,14/03/2021 01:14:18 p.m.,2021-03-14 14:20:15
16538,179,0,000000,1,0000000017900110,1,22/12/2020 10:17:19 p.m.,,1,100,1,26,PARTIDO NACIONALISTA PERUANO,PRESIDENCIAL,,,,,,,,Plan de Gobierno Partido Nacionalista Peruano 2021.pdf,False,False,14/03/2021 01:14:20 p.m.,2021-03-14 14:20:15
16535,2173,0,000000,1,0000000217300110,1,22/12/2020 08:33:18 p.m.,,1,100,1,26,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PRESIDENCIAL,,,,,,,,Anexo 5 Resumen PDG Avanza Pais 221220.pdf,False,False,14/03/2021 01:14:21 p.m.,2021-03-14 14:20:15
16536,2731,0,000000,1,0000000273100110,1,22/12/2020 09:04:51 p.m.,,1,100,1,26,PODEMOS PERU,PRESIDENCIAL,,,,,,,,PLAN DE GOBIERNO PODEMOS PERU.pdf,False,False,14/03/2021 01:14:22 p.m.,2021-03-14 14:20:15
16531,1257,0,000000,1,0000000125700110,1,22/12/2020 03:47:38 p.m.,,1,100,1,26,ALIANZA PARA EL PROGRESO,PRESIDENCIAL,,,,,,,,PLAN INTEGRAL DE GOBIERNO APP.pdf,False,False,14/03/2021 01:14:23 p.m.,2021-03-14 14:20:15
16517,21,0,000000,1,0000000002100110,1,21/12/2020 08:27:33 p.m.,,1,100,1,26,VICTORIA NACIONAL,PRESIDENCIAL,,,,,,,,PLAN DE GOBIERNO VICTORIA NACIONAL.pdf,False,False,14/03/2021 01:14:24 p.m.,2021-03-14 14:20:15
16526,2160,0,000000,1,0000000216000110,1,22/12/2020 06:11:46 a.m.,,1,100,1,25,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PRESIDENCIAL,,,,,,,,Plan de Gobierno FAJVL 2021_vf.pdf,False,False,14/03/2021 01:14:24 p.m.,2021-03-14 14:20:15
16542,2218,0,000000,1,0000000221800110,1,29/12/2020 06:27:15 a.m.,,1,100,1,25,PERU LIBRE,PRESIDENCIAL,,,,,,,,ideario-peru-libre.pdf,False,False,14/03/2021 01:14:25 p.m.,2021-03-14 14:20:15
16495,32,0,000000,1,0000000003200110,1,18/12/2020 04:18:36 p.m.,,1,100,1,26,PARTIDO APRISTA PERUANO,PRESIDENCIAL,,,,,,,,Plan de Gobierno Final.pdf,False,False,14/03/2021 01:14:26 p.m.,2021-03-14 14:20:15
16524,55,0,000000,1,0000000005500110,1,22/12/2020 01:41:44 a.m.,,1,100,1,26,PERU PATRIA SEGURA,PRESIDENCIAL,,,,,,,,PLAN DE GOBIERNO (2021 - 2026).pdf,False,False,14/03/2021 01:14:28 p.m.,2021-03-14 14:20:15
16482,22,0,000000,1,0000000002200110,1,15/12/2020 03:28:59 p.m.,,1,100,1,26,RENOVACION POPULAR,PRESIDENCIAL,,,,,,,,PLAN DE GOBIERNO - RP.pdf,False,False,14/03/2021 01:14:28 p.m.,2021-03-14 14:20:15
16530,47,0,000000,1,0000000004700110,1,22/12/2020 02:10:04 p.m.,,1,100,1,26,UNION POR EL PERU,PRESIDENCIAL,,,,,,,,PLAN DE GOBIERNO UPP- JNE.pdf,False,False,14/03/2021 01:14:29 p.m.,2021-03-14 14:20:15
16497,15,0,000000,1,0000000001500110,1,18/12/2020 11:49:19 p.m.,,1,100,1,26,PARTIDO POPULAR CRISTIANO - PPC,PRESIDENCIAL,,,,,,,,Introducción.pdf,False,False,14/03/2021 01:14:30 p.m.,2021-03-14 14:20:15
16544,179,0,000000,3,0000000017900110,1,29/12/2020 08:55:13 p.m.,,1,100,1,25,PARTIDO NACIONALISTA PERUANO,PARLAMENTO ANDINO,,,,,,,,PlanTrabajoParlamentoAndino.pdf,False,False,14/03/2021 01:25:49 p.m.,2021-03-14 14:20:15
