idPlanGobierno,idPlanGobDimension,strPGProblema,strPGObjetivo,strPGMeta,strPGIndicador,strFechaRegistro,strUsuario,idEstado,idPGDimension,intPorcentaje,fecha_registro
16521,125562,TALENTOS Y EDUCACIÓN,"1. ATENCIÓN INTEGRAL A LA PRIMERA INFANCIA, CON GARANTÍA DE NUTRICIÓN.
2. PERTINENCIA Y CULMINACIÓN OPORTUNA DE EDUCACIÓN BÁSICA.
3. MAYOR ACCESO A UNA EDUCACIÓN SUPERIOR DE CALIDAD.
4. DESARROLLO PROFESIONAL DOCENTE.
5. PROMOCIÓN DE LA CIENCIA Y TECNOLOGÍA.
6. CULTURA FÍSICA, RECREACIÓN Y DEPORTE","1. REDUCCIÓN DE ANEMIA INFANTIL AL 20%.
2. 30% DE AMPLIACIÓN DE COBERTURA PARA ESTUDIANTES DE EBR.
3. 100% DE IE INTERCONECTADAS POR FIBRA ÓPTICA.
4. 100% DE INSTITUCIONES FORMADORAS LICENCIADAS.
5. PUESTO 6 DE AMÉRICA LAT.  
6. 50% CON COBERTURA DE PLAZAS ORGÁNICAS DE PROFESOR DE EDUCACIÓN FÍSICA.","1. % DE POBLACIÓN CON ANEMIA INFANTIL POR AÑO.
2. NO. DE ESTUDIANTES CON NECESIDADES ESPECIALES.
3. NO. DE INSTITUCIONES DE EDUCACIÓN SUPERIOR CON TECNOLOGÍAS DIGITALES.
4. NO. DE PROGRAMAS DE FORMACIÓN DOCENTE DE EXCELENCIA.
5. % DE INCREMENTO DE INVERSIÓN ANUAL EN I Y D. 
6. % CON EXCESO DE PESO.",,,1,1,100,2021-02-21 12:00:47
16521,125563,SALUD Y TRABAJO,"1. SISTEMA ÚNICO DE SALUD, CON FORTALECIMIENTO DEL PRIMER NIVEL.
2. SALUD COMUNITARIA CON ENFOQUE EN INFANCIA, ENFERMEDADES DE ALTO COSTO Y TERCERA EDAD.
3. PROGRAMAS DE APOYO A PERSONAS EN VULNERABILIDAD.
4. SALUD Y BENEFICIOS SOCIALES PARA TRABAJADORES.
5. VIGILANCIA DE CONDICIONES DIGNAS DE TRABA","AL 2026:
1. 90-95% DE POBLACIÓN INCLUIDA.
2. 100% DE COBERTURA.
3. 50% DE LOS NÚCLEOS FAMILIARES INCORPORADOS.
4. 100% DE HOMOLOGACIÓN DE CARTERAS.
5. VALORES POR ENCIMA DEL 80% DE CUMPLIMIENTO.","1. ACCESO A HISTORIA CLÍNICA DIGITAL.
2. POBLACIÓN CUBIERTA CON FINANCIAMIENTO DE ENFERMEDADES DE ALTO COSTO.
3. POBLACIÓN CUBIERTA CON APOYO A SITUACIÓN DE VULNERABILIDAD. 
4. % DE HOMOLOGACIÓN DE CARTERAS DE SERVICIO EN LAS REDES DE SALUD.
5. NO. EMPRESAS FISCALIZADAS EN CONDICIONES LABORALES.",,,1,1,100,2021-02-21 12:00:47
16521,125564,CONSTRUCCIÓN DE CIUDADANÍA,"1. PROMOVER LA REIVINDICACIÓN Y VALORIZACIÓN DE LA DIVERSIDAD CULTURAL, ÉTNICA Y DE GRUPOS SOCIALES Y LUCHA CONTRA LA DISCRIMINACIÓN.
2. VIGILANCIA Y SANCIÓN DEL MALTRATO ANIMAL. 
3. DESARROLLO Y FORTALECIMIENTO DE COMPETENCIAS CIUDADANAS PARA LA CONVIVENCIA ARMONIOSA.","1. REDUCCIÓN AL 2026 DE LOS CASOS REPORTADOS DE DISCRIMINACIÓN EN UN 50% DE LOS VALORES REPORTADOS AL 2019.
2. 100% DE CASOS PROCESADOS AL 2026.
3. 100% DE INCORPORACIÓN DE COMPETENCIAS CIUDADANAS EN LA CURRÍCULA EDUCATIVA AL 2026.","1. REDUCCIÓN DE LA DISCRIMINACIÓN SEGÚN REPORTES ANUALES HASTA EL 2026.
2. NÚMERO DE CASOS CON PRUEBAS DE MALTRATO QUE SON DENUNCIADOS Y PROCESADOS
3. NÚMERO DE NIÑOS, NIÑAS, ADOLESCENTES Y JÓVENES, CON CONOCIMIENTO DE LOS PRINCIPIOS DE LA CULTURA CIUDADANA.",,,1,1,100,2021-02-21 12:00:47
16521,125565,ESTABILIDAD ECONÓMICA Y FISCAL,"1. ESTABILIDAD, PREDICTIBILIDAD Y PRUDENCIA EN EL MANEJO DE LA ECONOMÍA.
2. MEJORA DE LA RECAUDACIÓN TRIBUTARIA: REFORMA TRIBUTARIA INTEGRAL.","1. DÉFICIT FISCAL DEL 2%, Y DEUDA 25% AL 2026.
2. 18% AL 2026.","1. RESTABLECIMIENTO EN EL CUMPLIMIENTO DE LAS REGLAS FISCALES Y FINANCIERAS.  
2. RECAUDACIÓN TRIBUTARIA COMO PORCENTAJE DEL PBI.",,,1,2,100,2021-02-21 12:00:47
16521,125566,DIVERSIFICACIÓN PRODUCTIVA,"1. TURISMO, HOTELERÍA Y GASTRONOMÍA.
2. ACTIVIDAD PESQUERA TRADICIONAL E INDUSTRIAL.
3. OFERTA DE PUESTOS DE TRABAJO FORMALES Y SOSTENIBLES.
4. AGRICULTURA Y GANADERÍA PARA GENERAR EMPLEO, SEGURIDAD ALIMENTARIA Y DESARROLLO RURAL.
5. INDUSTRIA FORESTAL SOSTENIBLE Y CULTURA DE GUARDABOSQUES EN LA SEL","1. RECUPERACIÓN A CIFRAS DEL 2019 AL 2DO AÑO DE MASIFICACIÓN DE VACUNA CONTRA COVID.
2. 100% DE MAR VIGILADO POR SATÉLITE Y MARINA DE GUERRA.
3. REDUCCIÓN A CIFRAS <50% DE LA PEA.
4. 20% DE SEMILLAS DE CALIDAD CON 50% DE INTENSIFICACIÓN.
5. REDUCCIÓN DE 90% CON TRAZABILIDAD Y ORDENAMIENTO.","1. NRO DE TURISTAS INTERNACIONALES QUE INGRESAN AL PAÍS
2. NÚMERO DE MILLAS DE MAR PERUANO VIGILADO CONTRA DEPREDACIÓN INDUSTRIAL DE LA BIOMASA.
3. TASA DE EMPLEO INFORMAL ANUAL
4. TASA DE USO DE SEMILLAS DE CALIDAD E INTENSIFICACIÓN AGRÍCOLA.
5. TASA DE RENTABILIDAD DE INDUSTRIA FORESTAL SOSTENIBLE",,,1,2,100,2021-02-21 12:00:47
16521,125567,POLÍTICA EXTERIOR E INTERCAMBIOS COMERCIALES,"1. PROMOCIÓN DEL PRODUCTO PERUANO DE ALTA CALIDAD PARA EL MERCADO INTERNO Y EXTERNO.
2. ELIMINACIÓN DE BARRERAS Y TRÁMITES Y APOYO DE SUS DERECHOS CIUDADANOS DE LOS PERUANOS EN EL EXTERIOR.","1. 6,800 MILLONES DE US$ A 10,000 MILLONES EN CINCO AÑOS
2. AUMENTO PROGRESIVO HASTA LLEGAR AL 100% DE CONSULADOS IMPLEMENTANDO CAPACITACIONES CUBIERTOS AL 2026. INICIANDO CON EEUU, ARGENTINA, ESPAÑA, CHILE Y ALEMANIA.","1. VOLUMEN DE LAS AGROEXPORTACIONES
2. NÚMERO DE PERSONAL CAPACITADO EN LOS CONSULADOS PERUANOS. NÚMERO DE TRÁMITES SIMPLIFICADOS EN LOS CONSULADOS PERUANOS",,,1,2,100,2021-02-21 12:00:47
16521,125568,SOSTENIBILIDAD AMBIENTAL,"1. CONSERVACIÓN Y USO SOSTENIBLE DE RECURSOS NATURALES CON ENFOQUE EN ECONOMÍA CIRCULAR Y MITIGACIÓN DEL CAMBIO CLIMÁTICO.
2. GESTIÓN DE RESIDUOS SÓLIDOS.
3. GESTIÓN DE RIESGOS Y DESASTRES.","1. 50% DE ÁREAS IDENTIFICADAS RECUPERADAS O RECONVERTIDAS AL 2026.
2. 70% DE COBERTURA AL 2026.
3. 100% DE ZONAS IDENTIFICADAS Y CON PLAN DE MANEJO DE LA VULNERABILIDAD AL 2026.","1. PORCENTAJE DE ÁREAS DEGRADADAS POR CONTAMINACIÓN QUE SE RECUPERAN O RECONVIERTEN
2. PROPORCIÓN DE POBLACIÓN CUBIERTA POR UN SISTEMA INTEGRADO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS.
3. NÚMERO DE ZONAS DE RIESGO IDENTIFICADAS FRENTE A EVENTOS CLIMÁTICOS EXTREMOS",,,1,3,100,2021-02-21 12:00:47
16521,125569,"PLANIFICACIÓN DEL TERRITORIO, VIVIENDA Y SERVICIOS","1. PLANIFICACIÓN TERRITORIAL: USO RACIONAL Y SOSTENIBLE DE NUESTRA GEOGRAFÍA Y NATURALEZA.
2. VIVIENDA DIGNA EN ENTORNOS ESTIMULANTES. (CIUDAD) (VIVIENDA)
3. SERVICIOS DE TRANSPORTE CON VISIÓN MULTIMODAL Y ALCANCE NACIONAL","1. 15% ADICIONAL AL 2026.
2. META DE INVERSIÓN ANUAL EN INFRAESTRUCTURA DE 15 MIL MILLONES DE SOLES EN EL PERÍODO 2021- 2026.
3. 100% DE PAVIMENTACIÓN AL 2026.
DISMINUCIÓN DE 6.3% A 0% AL 2026.","1. % INCREMENTO DE LA SUPERFICIE AGRÍCOLA CON RIEGO.
2. NIVEL DE EJECUCIÓN DE PROYECTOS EN INFRAESTRUCTURA. 
ACCIÓN ESTRATÉGICA: CIERRE DE LA BRECHA DE INFRAESTRUCTURA.
3. NÚMERO DE RED VIAL NACIONAL PAVIMENTADA. PORCENTAJE DE CARGA NO ATENDIDA AL AÑO POR INFRAESTRUCTURA FERROVIARIA DEFICIENTE.",,,1,3,100,2021-02-21 12:00:47
16521,125575,CONECTIVIDAD DIGITAL,"1. CONECTIVIDAD E INFRAESTRUCTURA DIGITAL DE ALCANCE NACIONAL.
2. PLATAFORMA ÚNICA DIGITAL PARA INSTITUCIONES DEL GOBIERNO CENTRAL, REGIONAL Y LOCAL.
3. SERVICIOS DIGITALES DEL GOBIERNO HACIA EL CIUDADANO Y LAS EMPRESAS: CARPETA CIUDADANA DIGITAL (GRATUITA), EDUCACIÓN, MEDICINA.","1. 80,000 COMUNIDADES CONECTADAS A INTERNET AL 2026
2. 3 CENTROS DE DATOS PARA GOBIERNO DIGITAL FUERA DE LIMA AL 2026
3. 100% DE CONECTIVIDAD AL 2026.","1. PORCENTAJE DE CONECTIVIDAD DIGITAL A NIVEL NACIONAL.
2. NÚMERO DE PLATAFORMA DIGITAL DE SERVICIOS PÚBLICOS IMPLEMENTADA POR DISTRITO. 
3. NÚMERO DE SISTEMA DE CIRCUITO CERRADO DE VIGILANCIA DE LAS EMPRESAS PRIVADAS Y ENTIDADES DEL ESTADO HOMOLOGADO E INTEGRADO",,,1,3,100,2021-02-21 12:00:47
16521,125576,JUSTICIA Y DDHH,"1. GARANTÍA DEL ACCESO A LA JUSTICIA CON EQUIDAD, CELERIDAD Y HONESTIDAD.
2. SEGUIMIENTO Y PROTECCIÓN ESPECIAL PARA PERSONAS EN SITUACIÓN VULNERABLE: FEMINICIDIO, VIOLENCIA FAMILIAR, SECUESTRO, TRATA DE PERSONAS, TRABAJO INFANTIL.","1. LLEGAR A UN VALOR MÍNIMO DE 5.5 DEFENSORES PÚBLICOS POR CADA 10 000 HABITANTES AL 2026 Y AVANCE DE IMPLEMENTACIÓN DEL CPP AL 45% AL 2026 A NIVEL NACIONAL.
2. 40% DE DISMINUCIÓN DE CASOS DE FEMINICIDIO, VIOLENCIA FAMILIAR, SECUESTRO, TRATA DE PERSONAS, TRABAJO INFANTIL. AL 2026.","1. TASA DE DEFENSORES PÚBLICOS POR CADA 10 000 HABITANTES EN SITUACIÓN DE POBREZA Y % DE IMPLEMENTACIÓN DEL CÓDIGO PROCESAL PENAL (CPP) POR DISTRITO JUDICIAL.
2. % DE VÍCTIMAS DE VIOLENCIA QUE HAN NOTIFICADO SU VICTIMIZACIÓN A LAS AUTORIDADES COMPETENTES.",,,1,4,100,2021-02-21 12:00:47
